sub_category,korean_name,english_name,price,description,material,size,manufacturer,made,distributor,afterservice,main_image
맥주,유니콘맥주,unicorn beer,7000,"맑은 황금빛에 풍부한 탄산, 그리고 청량하고 톡 쏘는 깔끔한 맛이 특징
 가벼운 풍미와 산뜻한 맛을 내는 맥주",맥주,500ml,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/26_유니콘맥주_1.png
맥주,고래맥주,whle beer,6000,"목으로 넘어가는 탄산의 맛이 개운하고 깨끗한 맛이 일품인 맥주!
 끝맛이 많이 쓰지 않고 톡 쏘는 맛이 고기요리와 잘어울린다",맥주,500ml,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/27_고래맥주_1.png
맥주,사과맥주,pple beer,5000,"사과 발효주 베이스에 탄산을 첨가한 과일탄산주
 사과의 풍부한 향과 청량감이 특징
 알콜의 쓴맛이 거의 느껴지지않아 남녀노소 가볍게 즐길수있는 맥주!","사과,맥주",500ml,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/28_사과맥주_1.png
칵테일,모히또 티미,Mojito TMI,12000,"모히토의 오리지널 베이스에
 세계 1위 바텐더의 TMI를 섞어
 풍미를 더한 칵테일","라임, 민트, TMI",550ml,코드 칵테일,한국,위테일,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/29_모히또티미_1.png
칵테일,오렌지 사워,Ornge Sour,15000,"오렌지의 Sour한 강렬한 맛에
 단맛을 더해 만든 칵테일","오렌지, 설탕",650ml,코드 칵테일,한국,위테일,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/30_오렌지사워_1.png
와인,비냐 펜폴즈B,Vina PenfoldsB,300000,"칠레를 대표하는 와인 중 하나. 
 남부에 위치한 카차포알 밸리(Cachapoal Valley)에서
 수확한 까르메네르가 24%가 블랜드 되어 있다. 
 작은 포도밭에서 포도의 아로마가 최상일때 수확한 최상의 맛B",glass,750ml,위 비어 브라더,한국,시크릿 비어 코드,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/1_비냐펜폴즈_2.png
와인,빈야드 드 보카스텔B,Vineyard de BeaucastelB,150000,"홀 클러스터를 사용하고 작은 
 배럴에서 발효좋은 포도밭을 소유하고 있기도 하지만, 
 50년 넘게 유기농으로 재배를 해오고, 
 법률적으로 허용된 13가지 품종을 모두 사용하고 있다.
 품종 포도들은 따로 수확되며 포도 특징에 맞게 
 오크 배럴 혹은 콘크리트 탱크안에서 발효된 후 최종적으로 블랜딩된다.B",glass,1.5ℓ,위 비어 브라더,한국,시크릿 비어 코드,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/2_빈야드드보카스텔_2.png
와인,로드레 소비뇽B,Roederer SauvignonB,280000,"‘캘리포니아 스파클링 와인’에 대한 
 대중의 인식을 단번에 바꿔놓은 와인으로서, 
 좋은 포도밭을 선택한 것은 물론, 
 커다란 프렌치 오크통에서 숙성하였고,
 칠레의 수도 산티아고 바로 남쪽에 위치한 푸엔테 알토(Puente Alto)에서 
 수확한 까베르네 소비뇽이 66%를 차지한다.B",glass,1.5ℓ,위 비어 브라더,한국,시크릿 비어 코드,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/3_로드레소비뇽_2.png
와인,브릭 발린 레오빌B,Bric Balin LeovilleB,190000,"86% 까베르네 소비뇽과 14% 메를로 블랜딩. 
 항상 좋은 가격을 유지하고, 오랜기간 꾸준한 품질을 유지하고 있다. 
 약 15헥타르 규모의 가족 소유 포도밭에서 와인을 
 생산해오는 작은 와이너리지만, 모든 가족 구성원들이 
 와인에 열정을 쏟아부어 훌륭한 밸류 와인들을 생산해오고 있다.B",glass,750ml,위 비어 브라더,한국,시크릿 비어 코드,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/4_브릭발린레오빌_2.png
안주,피자B,PizzaB,22000,"클래식피자의 근본 페페로니피자! 
 토마토의 진한풍미와 특유의 풍미를 머금은 맵고 짭조름한 맛B",밀가루,50cm,선릉세프,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/5_피자_2.png
안주,감자튀김B,French friesB,15000,바삭하고 짭짤한 감자튀김 안주로 최고~!B,밀가루,100g,선릉세프,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/6_감자튀김_2.png
안주,초밥B,sushiB,15000,"스시 장인이 하나하나 정성스럽게 만든
 고퀄리티의 모둠스시B",밥,12pc,선릉세프,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/7_초밥_2.png
안주,치킨B,chickenB,16000,"기름 Down 육즙 팡팡!
 촉촉하고 담백한 오리지널 로스트의 대표치킨으로 오븐치킨의 신세계를 맞보게 된다.B",닭,180g,선릉세프,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/8_치킨_2.png
굿즈,나만의 각인 오프너B,Wine OpenerB,15000,"맥주를 새롭게 마시는 방법
 각인 오프너
 나만의 특별한 의미를 담은 오프너와 함께 맥주타임을 시작해보세요
 더 맛있게 즐길 수 있습니다B","철,나무,코르크",12cm,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/9_나만의각인오프너_2.png
굿즈,선릉탈출 보드게임B,Seolleng EscapeB,30000,"선릉 서바이벌, 선릉의 야근에서 탈출하자!
 이 세상의 모든 속박과 굴레를 벗어던지고 행복을 찾아 떠나는 보드게임 한판!
 퇴근했는데 일 생각나는 모든 직장인 분들을 위한 게임
 선릉 맥주 마시면서 선릉에서 탈출해 저 멀리 떠나보세요B",플라스틱,100cmX100cm,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/10_선릉탈출보드게임_2.png
굿즈,거품 메이커B,Bear Head MakerB,60000,"맥주와 거품은 못참지
 풍성한 거품을 만들어주는 맥주 거품 메이커입니다.B","플라스틱, 철",300g,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/11_거품메이커_2.png
굿즈,산뜻한 양치질 세트B,Tooth brush/Tooth paste SetB,12000,"맥주 마셨다고 그냥 자면 안돼요!
 맥주 마신 밤에도 산뜻한 밤을 선물해주는 양치질 세트
 부드러운 칫솔과 상큼한 양치질로 하루를 마무리해보세요B","플라스틱,치약",100ml,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/12_산뜻한양치질세트_2.png
굿즈,선릉 속 제주 선인장B,JeJu in SeolleungB,13000,"지금, 여기의 제주
 지친 분들을 위해 지금, 여기의 여행을 선물하고 싶어 준비했습니다.
 제주의 모습을 그대로 담은 제주 선인장을 곁에 두고
 시원한 선릉맥주를 마시며 여행을 즐겨보세요B","식물,도자기",15cmX15cm,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/13_선릉속제주선인장_2.png
굿즈,선릉맥주 전용잔B,Seolleung Beer GlassB,20000,"선릉 맥주를 가장 맛있게 즐기는 방법
 선릉 맥주 한 캔이 딱 떨어지게 담기는 선릉 전용잔과 함께
 이 순간을 즐겨보세요B",유리,50ml,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/14_선릉맥주전용잔_2.png
굿즈,우드 블루투스 스피커B,Wood Bluetooth SpeakerB,50000,"즐거운 맥주파티
 근데 이제 약간 음악을 곁들인…B",전자제품,30cmX10cm,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/15_우드블루투스스피커_2.png
굿즈,귀여운 재활용 뚜껑 뱃지B,Cap BadgeB,11000,"귀엽고 알록달록한 맥주 뚜껑 뱃지
 버려지는 맥주 뚜껑을 활용해 재탄생한 뱃지라 더 기분 좋은 뱃지입니다B","철,플라스틱",3cm,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/16_귀여운재활용뚜껑뱃지_2.png
굿즈,"서울, 여행 포스터B",Seolleung PosterB,10000,"서울, 여행
 서울의 풍경을 담은 포스터
 우리에게 서울이 새롭지 않은 건, 어쩌면 너무 가까이 있어서일지도 몰라요
 너무 가까워서 놓쳤던 서울의 맛을 담아온 선릉맥주가,
 이번에는는 너무 익숙해서 놓쳤던 서울의 모습을 담아보았습니다.
 서울의 맥주를 들고, 서울의 풍경 속을 여행해보세요B","종이,천",100cmX50cm,위 비어 브라더,한국,선릉맥주,판매자에게 문의,"https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/17_서울,여행포스터_2.png"
굿즈,서울 사람들 레고B,Seoul People LegoB,15000,"레고는 귀엽다
 서울 사람들은 레고다
 서울 사람들도 귀엽다
 선릉맥주 마시는 사람들은 더 귀엽다B",플라스틱,10cmX10cm,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/18_서울사람들레고_2.png
굿즈,부드러운 맥주 거품 크림B,Creamy Hand CreamB,12000,"맥주 마시면 피부 나빠진다고요?
 맥주와 피부 둘 다 책임지겠습니다
 걱정없이 선릉 맥주 마시고, 쓱싹쓱싹 맥주 거품 크림 바르고,
 산뜻하고 피부 좋은 아침을 맞이해보세요B",화장품,100ml,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/19_부드러운맥주거품크림_2.png
굿즈,상큼한 민트 초코티B,Mint Chocolate TeaB,18000,"시원한 맥주와 같이 즐기면 더 맛있는 상큼한 민트 초코티
 상큼한 민트와 달콤한 초콜릿이 페어링된 민트 초코티
 맥주와 함께 즐겨도 맛있고, 다음날 아침에 즐겨도 산뜻합니다
 상큼한 민트초코티와 함께 상큼한 여행지의 기분을 느껴보세요B","민트,초콜릿",100g,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/20_상큼한민트초코티_2.png
맥주,선릉 생맥주B,draft beerB,5000,"신선한맥주의 풍미를 즐길수있고
 쓸씁한 맛과 달콤한 맛을 동시에 느낄수 있는 탄산같은 선릉 생맥주~!B",생맥주,500ml,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/21_선릉생맥주_2.png
맥주,선릉 흑맥주B,black beerB,7000,"커피나초콜릿 처럼 검은외관을 가진 맥주!
 묵직하고 부드러운 맛이 일품B","흑맥주,커피",500ml,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/22_선릉흑맥주_2.png
맥주,몽키맥주B,monkey beerB,6000,"맥주사탕이라 불리울 만큼 달콤하고 향긋한 맥주
 여자분들이 선호하는 맥주
 맥주병 뒤에 설명서대로 딸 마시면 더 맛있다.
 병맥주임에도 불구하고 효모가 효모가 살이있어서 맥주 맛이 일품이다 
 맛이 부드러운편이며 끝맛은 약간 과일향도 나서 부담없이 즐길수있다.B",맥주,500ml,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/23_몽키맥주_2.png
맥주,거위맥주B,goose beerB,7000,"보리와 호프를 재배하는 생산지와 직접 계약해 원료 조달부터 깐깐한 열정을 쏟는 맥주.
 상쾌한 맛과 독자적으로 만들어낸 '풍미가 오래가는 맥아'를 사용한 맥주로
 깔끔함 + 깊은 맛 + 고소한 쓴 맛의 세 박자가 일품!B",맥주,500ml,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/24_거위맥주_2.png
맥주,카우걸맥주B,cowgirl beerB,7000,"요즘처럼 더운 여름날, 우리가 떠올리는 시원한 맥주
 대다수 국가에서 가장 많은 사랑을 받고 있는 맥주
 ‘가벼움’! 밝은 노란색을 띄며 홉의 쌉쌀함이나 향을 최대한 줄이고 입안에서 맛이 빠르게 사라지는 라이트 바디가 특징인 맥주
 B",맥주,500ml,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/25_카우걸맥주_2.png
맥주,유니콘맥주B,unicorn beerB,7000,"맑은 황금빛에 풍부한 탄산, 그리고 청량하고 톡 쏘는 깔끔한 맛이 특징
 가벼운 풍미와 산뜻한 맛을 내는 맥주B",맥주,500ml,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/26_유니콘맥주_2.png
맥주,고래맥주B,whale beerB,6000,"목으로 넘어가는 탄산의 맛이 개운하고 깨끗한 맛이 일품인 맥주!
 끝맛이 많이 쓰지 않고 톡 쏘는 맛이 고기요리와 잘어울린다B",맥주,500ml,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/27_고래맥주_2.png
맥주,사과맥주B,apple beerB,5000,"사과 발효주 베이스에 탄산을 첨가한 과일탄산주
 사과의 풍부한 향과 청량감이 특징
 알콜의 쓴맛이 거의 느껴지지않아 남녀노소 가볍게 즐길수있는 맥주!B","사과,맥주",500ml,위 비어 브라더,한국,선릉맥주,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/28_사과맥주_2.png
칵테일,모히또 티미B,Mojito TMIB,12000,"모히토의 오리지널 베이스에
 세계 1위 바텐더의 TMI를 섞어
 풍미를 더한 칵테일B","라임, 민트, TMI",550ml,코드 칵테일,한국,위테일,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/29_모히또티미_2.png
칵테일,오렌지 사워B,Orange SourB,15000,"오렌지의 Sour한 강렬한 맛에
 단맛을 더해 만든 칵테일B","오렌지, 설탕",650ml,코드 칵테일,한국,위테일,판매자에게 문의,https://raw.githubusercontent.com/geekanne/wecodeA/main/seolleungbeer_product_image/30_오렌지사워_2.png
